sentiment	text
pos	The Da Vinci Code book is just awesome.
pos	this was the first clive cussler i've ever read, but even books like Relic, and Da Vinci code were more plausible than this.
pos	i liked the Da Vinci Code a lot.
pos	I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.
pos	that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course.
pos	I loved the Da Vinci Code, but now I want something better and different!..
pos	i thought da vinci code was great, same with kite runner.
pos	The Da Vinci Code is actually a good movie...
pos	I thought the Da Vinci Code was a pretty good book.
pos	The Da Vinci Code is one of the most beautiful movies ive ever seen.
pos	The Da Vinci Code is an * amazing * book, do not get me wrong.
pos	then I turn on the light and the radio and enjoy my Da Vinci Code.
pos	The Da Vinci Code was REALLY good.
pos	i love da vinci code....
pos	i loved da vinci code..
pos	TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...
pos	THE DA VINCI CODE is AN AWESOME BOOK....
pos	Thing is, I enjoyed The Da Vinci Code.
pos	very da vinci code slash amazing race.
pos	Hey I loved The Da Vinci Code!..
pos	also loved the da vinci code..
pos	I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.
pos	I do like Angels and Demons more then The Da Vinci Code.
pos	The Da Vinci Code was a really good movie.
pos	yeah, da vinci code is an awesome movie i liked it pretty interesting.
pos	I really like The Da Vinci Code.
pos	Da Vinci Code is amazing.
pos	The Da Vinci Code was awesome...
pos	The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart.
pos	Book ( s ): I love The Da Vinci Code..
pos	And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband.
pos	 Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown.
pos	I love the da vinci code...
pos	Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...
pos	I just read Da Vinci Code ( which was AWESOME by the way )  .
pos	The Da Vinci Code is excellent if you read it as normal as you read other novels,,,..
pos	I loved the Da Vinci Code!
pos	I love reading The Da Vinci Code!!!!
pos	I'm telling you, the Da Vinci Code is an AWESOME book!
pos	Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).
pos	And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment  seeing how the other side reads.
pos	I love the Da Vinci Code.
pos	Da Vinci code is awesome!
pos	The Da Vinci Code is awesome.
pos	The Da Vinci Code is SUCH an awesome book!
pos	I LOVE THE DA VINCI CODE...
pos	I loved The Da Vinci Code.
pos	the da vinci code is awesome!
pos	oh so beautiful Da Vinci Code...
pos	i loved the da vinci code.
pos	The Da Vinci Code is an awesome book.
pos	Da vinci code is an awesome book.
pos	I miss ripping acoustic music and the Da Vinci Code...
pos	Personally, I neither hate nor love the Da Vinci Code.
pos	looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.
pos	Da Vinci Code is of course a awesome book, but you will figure that out on page 286.
pos	I love  The Da Vinci Code!
pos	i LOVED the Da Vinci Code.
pos	But seriously, the Da Vinci Code is an awesome book.
pos	da vinci code is awesome.
pos	I love The Da Vinci Code.
pos	omg i love the da vinci code that is such an awesome book!
pos	The Da Vinci Code is an awesome book...
pos	The Da Vinci Code is still one of the most awesomest books i've ever read...
pos	I did love The Da Vinci Code though.
pos	The Da Vinci Code is awesome!..
pos	I love the Da Vinci Code too.
pos	shit, i love the da vinci code.
pos	The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?..
pos	the da vinci code was an awesome book, i just finished it.
pos	da vinci code is awesome..
pos	I love The Da Vinci Code...
pos	I LOVE THE DA VINCI CODE!!..
pos	I LOVE THE DA VINCI CODE!!.
pos	damn i love da vinci code.
